약국명,주소,비고,전화번호,Latitude,Longitude
누가약국,부산광역시 강서구 공항진입로 108,,051-973-7022,128.9442704,35.1732244
금은동약국,부산광역시 강서구 낙동북로 68,,051-972-1160,128.9369459,35.21786307
해인온누리약국,부산광역시 강서구 녹산산단321로 24-4 102호,,051-973-1616,128.8530314,35.09076689
이화약국,부산광역시 강서구 명지오션시티3로 23,,051-637-8113,128.9029988,35.08225611
판도라힘찬약국,부산광역시 금정구 구서로 20,,051-515-4702,129.0890504,35.24688056
희망약국,부산광역시 금정구 금강로 376,,051-913-0927,129.0865962,35.24149027
일선약국,부산광역시 금정구 금강로 565,,051-513-0574,129.087483,35.25789131
홍제당약국,부산광역시 금정구 금정로149번길 13,,051-581-6566,129.0870469,35.2378734
열린약국,부산광역시 금정구 범어천로 66,,051-583-6367,129.0893712,35.27203025
부곡약국,부산광역시 금정구 부곡로 78,,051-581-5657,129.0912262,35.22299395
대학약국,부산광역시 금정구 부산대학로49번길 17,,051-514-3937,129.0858523,35.23047486
서동약국,부산광역시 금정구 서동로 171,,051-521-1350,129.1053071,35.21467435
제일약국,부산광역시 금정구 서동중심로 17,,051-558-0096,129.1041904,35.21135376
늘푸른약국,부산광역시 금정구 서부로 31,,051-522-3426,129.1026265,35.21648846
샘솟는약국,부산광역시 금정구 중앙대로 2027,,051-512-2253,129.092112,35.26545554
금정21세기약국 ,부산광역시 금정구 중앙대로1841번길 24,,051-515-7183,129.0905962,35.24994153
대변약국,부산광역시 기장군 기장읍 기장해안로 581-1,,051-721-6008,129.227944,35.22486984
진약국,부산광역시 기장군 기장읍 읍내로 96,,051-722-0686,129.2147579,35.2449266
대영약국,부산광역시 기장군 기장읍 차성동로 63,,051-723-1235,129.2162757,35.24341186
시장약국,부산광역시 기장군 기장읍 차성로288번길 40,,051-721-2367,129.2157705,35.24291324
중앙약국,부산광역시 기장군 정관면 정관4로 38,102호,051-413-0300,129.1709765,35.32610825
제일약국,부산광역시 기장군 정관면 정관로 560,,051-727-6991,129.1750901,35.32134847
우리온누리약국,부산광역시 기장군 정관면 정관중앙로 56 ,101호,051-728-2674,129.1795279,35.32174593
튼튼약국,부산광역시 기장군 정관읍 정관로 615,,051-727-7717,129.1809113,35.32003886
이와약국,부산광역시 남구 수영로 216,,051-633-8818,129.0901144,35.13477364
사랑약국,부산광역시 남구 수영로 228,,070-7504-1480,129.0914619,35.13484483
한마음약국,부산광역시 남구 수영로 298 1층,,051-627-6489,129.099036,35.13658634
명륜당약국,부산광역시 남구 수영로 30-1,,051-644-8423,129.0713273,35.13638023
재민약국,부산광역시 남구 수영로 30-11,,051-637-0329,129.0712384,35.13592819
신수정약국,부산광역시 동구 고관로 144,,051-464-8929,129.0490225,35.13055989
구세약국,부산광역시 동구 망양로 831,,051-467-8478,129.045321,35.13560419
상아약국,부산광역시 동구 망양로 873,,051-635-3316,129.0478311,35.1386134
새문하약국,부산광역시 동구 범일로89번길 65,,051-631-3488,129.0586255,35.14057593
민생약국,부산광역시 동구 중앙대로231번길 17,,051-467-4744,129.0400006,35.11806161
그린약국,부산광역시 동구 초량로 35,,051-468-3843,129.0384568,35.12021634
대림약국,부산광역시 동구 초량로 43-1,,051-468-1528,129.0377002,35.12012949
보건온누리약국,부산광역시 동래구 명륜로187번길 55,,051-555-8323,129.0796302,35.21116425
김해약국,부산광역시 동래구 사직북로19번길 6,,051-501-8891,129.0600941,35.19764526
도리약국,부산광역시 동래구 아시아드대로 142,,051-505-3411,129.0660108,35.1970969
아이사랑약국,부산광역시 동래구 아시아드대로 186,,051-507-0700,129.0652749,35.20087719
지리산약국,부산광역시 동래구 아시아드대로228번길 22,,051-506-8361,129.0681126,35.20358573
늘푸른약국,부산광역시 동래구 여고로113번길 78,,051-503-0272,129.0740678,35.20193484
금정약국,부산광역시 동래구 여고북로 167,,051-502-1165,129.0739776,35.2021924
햇살가득한약국,부산광역시 동래구 중앙대로 1325 ,103호,051-552-7500,129.0775303,35.20531002
세계로약국,부산광역시 동래구 충렬대로 249,,051-556-5000,129.0865623,35.20141451
동래시장약국,부산광역시 동래구 충렬대로 249-1,,051-553-3424,129.0867108,35.20141817
남영약국,부산광역시 동래구 충렬대로 252-1,,051-555-9655,129.0867606,35.20098918
이소약국,부산광역시 동래구 충렬대로107번길 106,,051-558-3317,129.0734297,35.21144582
금호약국,부산광역시 부산진구 가야공원로 46-1,,051-893-2379,129.0297284,35.14940608
사랑약국,부산광역시 부산진구 가야대로 459 1층,,051-898-4712,129.0223631,35.15360744
행복약국,부산광역시 부산진구 가야대로 460,,051-894-1400,129.0223353,35.15286705
